step,seq2seq,pilotnet,steer
606,52.16174698,7.654107094,559.4293823
607,19.89862633,16.57141685,350.4890747
608,52.88415909,5.389770508,419.561554
609,16.66455078,8.720880508,440.8280334
610,25.35952187,6.774436951,342.2922058
611,14.95875072,9.529193878,479.1436157
612,31.52210236,38.34267426,420.1246948
613,93.34274292,8.903467178,571.550354
614,35.31979752,3.835613728,556.0391846
615,6.136855125,4.815643787,404.368042
616,38.11960983,18.15625381,343.3254089
617,55.2795105,3.823536158,274.7241516
618,64.98712158,24.16664886,414.2694397
619,30.78810883,18.10957146,540.4260864
620,30.8855629,75.63911438,544.0935669
621,66.03495789,5.383750439,296.6717529
622,91.77374268,4.472908497,468.2189636
623,40.61660385,6.279985428,456.0159302
624,72.53865051,5.253557205,294.8334656
625,114.1924515,12.86465454,352.3679199
626,4.226593018,6.274808884,567.2520752
627,91.30441284,8.419984818,343.0752563
628,7.152096748,3.962681532,431.5076294
629,36.67790985,7.317507267,308.1424255
630,112.5687714,10.12443352,467.8763733
631,71.95344543,7.532096863,561.3288574
632,30.12567902,9.365501404,494.5843811
633,27.10926628,27.64884186,498.0347595
634,50.58272171,14.00469875,493.5994873
635,24.9876709,22.12076378,367.5786438
636,56.56680298,6.23392868,535.5150146
637,77.04366302,4.166376591,645.5145874
638,29.84240532,5.297049999,596.3440552
639,91.03925323,4.684230328,377.5906677
640,62.18780518,2.382580042,466.1591797
641,103.9781265,2.422113895,529.9385376
642,22.40405273,2.587750673,445.4627075
643,42.26538849,74.94187927,332.7998047
644,92.34745789,1.924307823,677.1530762
645,59.11755371,2.321216822,359.0295105
646,38.01024628,65.42376709,226.6269531
647,20.57812309,6.901437283,600.6901855
648,28.66013908,18.82363892,390.6798401
649,63.68656158,56.99698639,550.3069458
650,18.49540901,11.68996716,534.3444214
651,73.56707001,4.076472759,615.7022705
652,23.60817909,7.178120613,357.8002319
653,12.91831112,63.01438904,595.6017456
654,27.17835236,5.983080864,416.1017456
655,59.98301697,24.0474453,459.3539734
656,13.43310547,2.111014366,367.7843628
657,78.70422363,4.415866852,372.0467834
658,43.25482941,9.261487961,430.3101501
659,17.20986176,9.415166855,362.1147766
660,15.39846039,8.292953491,401.2762756
661,95.25743103,1.537443638,349.0394897
662,58.7885704,11.91763115,412.735199
663,61.31035614,11.62402153,599.0081787
664,17.88486862,15.2453022,370.5279541
665,29.54924583,9.862236023,601.819519
666,24.53637695,1.652642608,376.9166565
667,54.45996094,12.69863701,313.0402832
668,16.24409485,32.08638382,491.2887878
669,30.9803009,56.36384201,613.7375488
670,23.11448097,37.81162262,365.1776733
671,19.43904495,3.307898521,405.8799744
672,101.9701996,11.34371948,472.1272888
673,10.44548607,24.56805992,562.6015625
674,44.69244766,39.87329102,491.4953003
675,50.25057602,15.70189667,571.6018677
676,27.75650787,1.173769355,547.206665
677,12.29481697,8.928418159,558.6004028
678,73.64420319,11.89590645,435.0863037
679,86.75491333,3.493505001,338.8658752
680,7.630640507,3.87363553,344.6165161
681,84.58014679,6.730874062,533.821106
682,7.37475729,15.97972488,487.4546814
683,32.85048294,5.758108616,478.7604675
684,17.22655869,5.721168518,567.0425415
685,18.52200508,3.320738077,393.8597107
686,33.04727936,5.459578037,525.8816528
687,45.25709534,5.114521027,610.7693481
688,18.79908371,5.201519966,475.0987244
689,11.31633186,6.162546158,319.9700317
690,47.17786407,10.24574661,286.3726807
691,13.4963026,39.16382217,532.8325806
692,38.58759308,1.938299894,562.3856812
693,19.1281929,25.07378387,275.0146179
694,58.84852982,9.663359642,252.1411133
695,35.3425827,26.92538071,528.5742188
696,13.6032629,45.63286591,422.3753967
697,90.87089539,25.98931885,581.7236328
698,40.50600433,17.80939484,349.0218506
699,53.4036026,13.04648113,644.8287964
700,62.00414276,35.50889587,415.7072144
701,97.27792358,2.403564692,714.7477417
